sample_id,patient_id,cancer_type,TP53,VEGFA,HIF1A,ANGPT2,FLT1
TCGA-55-6975-01A-11R-1949-07,TCGA-55-6975,LUAD,5.134243172706209,5.542717622634629,6.738669410664207,3.9548073500439056,4.109203218325381
TCGA-49-6761-01A-31R-1949-07,TCGA-49-6761,LUAD,6.615096976463179,9.10233336868323,7.171663381096825,2.330557592254747,3.4605730096330576
TCGA-MP-A4TF-01A-11R-A262-07,TCGA-MP-A4TF,LUAD,5.7028709129070165,8.402515642425168,7.870460962812582,3.6827293484782784,3.803949938788638
TCGA-44-2656-01B-06R-A277-07,TCGA-44-2656,LUAD,4.133131208374022,7.9912976976475,7.687953638695555,4.6188983235734105,5.21646160644211
TCGA-44-3918-01A-01R-A278-07,TCGA-44-3918,LUAD,4.265439785267808,8.538107135281496,7.495770564755387,3.521418554727215,4.549736119571565
TCGA-55-A57B-01A-12R-A39D-07,TCGA-55-A57B,LUAD,6.09746300527629,7.07517253927692,6.300513910929045,3.2342878770481316,3.4673099600505934
TCGA-62-A46Y-01A-11R-A24H-07,TCGA-62-A46Y,LUAD,6.059246496327277,7.795232936429306,6.618020635970715,2.0852729500741196,3.195274378502869
TCGA-49-AAR2-01A-11R-A39D-07,TCGA-49-AAR2,LUAD,5.742360164577265,6.040685839542571,4.08724417293017,1.7232884566941136,2.199354227103914
TCGA-05-5423-01A-01R-1628-07,TCGA-05-5423,LUAD,5.560610317711725,4.8214652871018915,4.996123447570367,0.4385001184102132,1.6336215100275424
TCGA-91-A4BC-01A-11R-A24H-07,TCGA-91-A4BC,LUAD,5.2861247145942825,8.579086431526909,6.503741551358334,4.620333633258203,4.822005630855094
TCGA-86-8056-01A-11R-2241-07,TCGA-86-8056,LUAD,5.226498745865003,7.367099559378387,6.532359191021617,2.65107681712107,3.830637676330319
TCGA-49-6745-01A-11R-1858-07,TCGA-49-6745,LUAD,6.265230465604435,6.459935811737976,8.62544929994223,3.0388195128216116,4.0304688812133485
TCGA-55-8096-01A-11R-2241-07,TCGA-55-8096,LUAD,4.690098652268537,8.774454584797454,6.116790930098082,4.769565768703061,5.1754613544788794
TCGA-44-6774-01A-21R-1858-07,TCGA-44-6774,LUAD,6.411818185850451,6.979994427770282,7.170387119455495,3.6115233002656577,5.256656483223132
TCGA-05-4402-01A-01R-1206-07,TCGA-05-4402,LUAD,3.985094612780357,7.125547493029156,6.235151773470858,2.04969992423482,3.168187102100508
TCGA-69-7761-01A-11R-2170-07,TCGA-69-7761,LUAD,5.378914792599747,7.469872916382978,7.185867135539543,2.6220650091792757,3.715586458717519
TCGA-21-1078-01A-01R-0692-07,TCGA-21-1078,LUSC,7.178810156330899,8.101719844912038,6.046395927373907,3.7296346819522577,2.923339571675917
TCGA-NK-A7XE-01A-12R-A405-07,TCGA-NK-A7XE,LUSC,5.900189065827676,6.517543849045562,5.733502007396453,0.8080661099877512,1.3470378912409469
TCGA-52-7811-01A-11R-2125-07,TCGA-52-7811,LUSC,3.957801115530593,6.566526686537718,8.009516736987248,5.178574611842248,3.757841651066826
TCGA-18-3409-01A-01R-0980-07,TCGA-18-3409,LUSC,4.855966484596977,7.911541799933376,6.512551380602844,4.020279586460947,4.060505276151637
TCGA-56-7579-01A-11R-2045-07,TCGA-56-7579,LUSC,4.8615408468461085,5.6706166431595175,6.7935275228588035,1.5694344142084549,3.254575094893929
TCGA-63-A5MM-01A-11R-A26W-07,TCGA-63-A5MM,LUSC,6.034223856903822,7.876290898849005,7.505283493148751,2.740569500684731,3.631913131114137
TCGA-18-3411-01A-01R-0980-07,TCGA-18-3411,LUSC,3.3340909418263047,6.33498811731901,6.549378633691042,2.607805290627742,2.46758440334706
TCGA-85-8070-01A-11R-2247-07,TCGA-85-8070,LUSC,3.739596629132579,6.7197355633098175,5.919434376464368,1.308999143473526,1.4072024548594753
TCGA-56-8625-01A-11R-2403-07,TCGA-56-8625,LUSC,6.259368283480818,6.54423042569112,6.966629225013457,2.1850553716746677,4.225883997821452
TCGA-NC-A5HG-01A-11R-A26W-07,TCGA-NC-A5HG,LUSC,5.914768094775944,8.50487370986049,7.039208754255485,2.4032971209157505,2.1439515968304157
TCGA-63-A5MN-01A-22R-A27Q-07,TCGA-63-A5MN,LUSC,5.18547895870688,8.33102750266137,8.129373684730751,3.4783450315383813,3.9969945516011425
TCGA-46-6026-01A-11R-1820-07,TCGA-46-6026,LUSC,6.86746198581457,8.241609177982133,4.976682185919402,2.0496569567062295,2.810896473876588
